0,70
1,86
2,70
3,82
4,75
5,80
6,84
7,67
8,71
9,86
10,76
11,75
12,79
13,68
14,72
15,76
16,74
17,87
18,88
19,65
20,93
21,70
22,81
23,90
24,92
25,75
26,75
27,91
28,80
29,81
30,72
31,71
32,70
33,84
34,85
35,70
36,82
37,75
38,99
39,77
40,92
41,95
42,89
43,94
44,100
45,97
46,80
47,86
48,89
49,78
50,98
51,85
52,74
53,65
54,100
55,85
56,92
57,98
58,84
59,51
60,77
61,76
62,90
63,82
64,70
65,65
66,94
67,81
68,81
69,64
70,79
71,69
75,55
76,51
77,49
78,58
79,63
80,45
81,53
82,44
83,52
84,69
85,94
86,83
87,89
88,72
89,62
90,79
91,53
92,54
93,53
94,70
95,66
96,60
97,50
98,56
99,70
100,64
101,77
102,83
103,78
104,38
105,71
106,79
107,77
108,63
109,65
110,62
111,59
112,68
113,65
114,67
115,81
116,86
117,91
118,75
119,83
120,76
121,64
122,92
123,89
124,85
125,92
126,95
127,92
128,86
129,88
130,83
131,86
132,84
133,88
134,86
135,85
136,77
137,81
138,93
139,76
140,82
141,70
142,76
143,88
144,67
145,70
146,61
147,69
148,66
149,81
150,89
151,88
152,80
153,66
154,72
155,69
156,54
157,63
158,65
159,94
160,98
161,104
162,96
163,101
164,106
165,103
166,95
167,88
168,101
169,101
170,96
171,90
172,79
173,84
174,72
175,86
176,91
177,89
178,94
179,96
180,79
181,67
182,68
183,65
184,54
185,76
186,69
187,83
188,61
189,47
190,45
191,53
192,57
193,71
194,63
195,79
196,57
197,76
198,81
199,93
200,74
201,74
202,82
203,62
204,59
205,82
206,79
207,64
208,63
209,63
210,55
211,67
212,65
213,57
214,46
215,55
216,43
217,67
218,70
219,82
220,72
221,89
222,81
223,66
224,59
225,59
226,53
227,58
228,52
229,64
230,54
231,54
232,57
233,69
234,76
235,74
236,74
237,89
238,95
239,77
240,86
241,97
242,94
243,97
244,76
245,91
246,109
247,108
248,101
249,80
250,97
251,91
252,90
253,88
254,97
255,90
256,102
257,100
258,94
259,98
260,85
261,83
262,73
263,67
264,54
265,87
266,76
267,67
268,89
269,85
270,88
271,98
272,79
273,78
274,74
275,63
276,67
277,71
278,78
279,74
280,70
281,69
282,68
283,64
284,66
285,69
286,93
287,85
288,96
289,81
290,89
291,95
292,78
293,49
294,59
295,75
296,88
297,81
298,78
299,105
300,79
301,91
302,101
303,91
304,90
305,72
306,75
307,61
308,61
309,67
310,47
311,46
312,51
313,57
314,58
315,52
316,62
317,43
318,76
319,78
320,74
321,80
322,88
323,89
324,82
325,84
326,93
327,68
328,77
329,71
330,104
331,83
332,96
333,96
